InscriptionYear,HusbandAge,HusbandPreviousMaritalStatus,HusbandCityBirthPlace,HusbandCountryBirthPlace,HusbandCityResidencePlace,HusbandCountryResidencePlace,HusbandPreviousMarriages,HusbandPreviousChildren,WifeAge,WifePreviousMaritalStatus,WifeCityBirthPlace,WifeCountryBirthPlace,WifeCityResidencePlace,WifeCountryResidencePlace,WifePreviousMarriages,WifePreviousChildren,MarriageDate,MarriagePlace
2013,40,DIVORCIO O ANULACION,CAGUAS,PUERTO RICO,HUMACAO,PUERTO RICO,1,2,36,DIVORCIO O ANULACION,SAN JUAN,PUERTO RICO,HUMACAO,PUERTO RICO,1,2,6/30/13,HUMACAO
2013,21,NUNCA SE HA CASADO,MANATI,PUERTO RICO,ARECIBO,PUERTO RICO,0,0,25,DIVORCIO O ANULACION,ARECIBO,PUERTO RICO,AIBONITO,PUERTO RICO,1,1,9/21/13,ARECIBO
2013,30,NUNCA SE HA CASADO,PONCE,PUERTO RICO,JUANA DIAZ,PUERTO RICO,0,0,28,NUNCA SE HA CASADO,PONCE,PUERTO RICO,PONCE,PUERTO RICO,0,0,11/11/13,JUANA DIAZ
2013,30,NUNCA SE HA CASADO,SAN JUAN,PUERTO RICO,CANOVANAS,PUERTO RICO,0,0,28,NUNCA SE HA CASADO,MAYAGUEZ,PUERTO RICO,CANOVANAS,PUERTO RICO,0,0,4/6/13,CANOVANAS
2013,20,NUNCA SE HA CASADO,ARECIBO,PUERTO RICO,ARECIBO,PUERTO RICO,0,0,21,NUNCA SE HA CASADO,ARECIBO,PUERTO RICO,ARECIBO,PUERTO RICO,0,0,7/27/13,HATILLO
2013,30,NUNCA SE HA CASADO,SAN JUAN,PUERTO RICO,UTUADO,PUERTO RICO,0,0,25,NUNCA SE HA CASADO,AGUADILLA,PUERTO RICO,AGUADILLA,PUERTO RICO,0,0,7/18/13,AGUADILLA
2013,26,NUNCA SE HA CASADO,AIBONITO,PUERTO RICO,CAYEY,PUERTO RICO,0,0,22,NUNCA SE HA CASADO,CAGUAS,PUERTO RICO,CAGUAS,PUERTO RICO,0,0,10/24/13,CAGUAS
2013,40,DIVORCIO O ANULACION,MANATI,PUERTO RICO,MANATI,PUERTO RICO,1,2,37,DIVORCIO O ANULACION,CALIFORNIA,ESTADOS UNIDOS,MANATI,PUERTO RICO,1,1,3/23/13,MANATI
2013,24,NUNCA SE HA CASADO,BAYAMON,PUERTO RICO,BAYAMON,PUERTO RICO,0,0,22,NUNCA SE HA CASADO,BAYAMON,PUERTO RICO,TOA ALTA,PUERTO RICO,0,0,6/1/13,BAYAMON
2013,34,NUNCA SE HA CASADO,BAYAMON,PUERTO RICO,VEGA ALTA,PUERTO RICO,0,0,31,NUNCA SE HA CASADO,RIO PIEDRAS,PUERTO RICO,VEGA ALTA,PUERTO RICO,0,0,9/22/13,VEGA BAJA
2013,33,NUNCA SE HA CASADO,NEW YORK,ESTADOS UNIDOS,CAGUAS,PUERTO RICO,0,0,30,DIVORCIO O ANULACION,SAN JUAN,PUERTO RICO,BAYAMON,PUERTO RICO,1,3,7/20/13,GUAYNABO
2013,28,NUNCA SE HA CASADO,PONCE,PUERTO RICO,AGUADILLA,PUERTO RICO,0,0,28,NUNCA SE HA CASADO,NA,COLOMBIA,MAYAGUEZ,PUERTO RICO,0,0,5/18/13,MAYAGUEZ
2013,50,NUNCA SE HA CASADO,NEW YORK,ESTADOS UNIDOS,BAYAMON,PUERTO RICO,0,0,62,DIVORCIO O ANULACION,BAYAMON,PUERTO RICO,BAYAMON,PUERTO RICO,1,3,12/15/13,BAYAMON
2013,29,NUNCA SE HA CASADO,SAN JUAN,PUERTO RICO,FAJARDO,PUERTO RICO,0,0,25,NUNCA SE HA CASADO,CAROLINA,PUERTO RICO,FAJARDO,PUERTO RICO,0,0,11/24/13,CAGUAS
2013,28,NUNCA SE HA CASADO,MAYAGUEZ,PUERTO RICO,ISABELA,PUERTO RICO,0,0,25,NUNCA SE HA CASADO,BAYAMON,PUERTO RICO,ISABELA,PUERTO RICO,0,0,2/12/13,ISABELA
2013,53,DIVORCIO O ANULACION,CATANO,PUERTO RICO,GUAYNABO,PUERTO RICO,1,3,54,NUNCA SE HA CASADO,RIO PIEDRAS,PUERTO RICO,GUAYNABO,PUERTO RICO,0,0,1/5/13,GUAYNABO
2013,26,NUNCA SE HA CASADO,SAN JUAN,PUERTO RICO,JUNCOS,PUERTO RICO,0,0,25,NUNCA SE HA CASADO,HUMACAO,PUERTO RICO,JUNCOS,PUERTO RICO,0,0,8/31/13,LAS PIEDRAS
2013,49,DIVORCIO O ANULACION,BAYAMON,PUERTO RICO,TOA BAJA,PUERTO RICO,2,2,48,DIVORCIO O ANULACION,TOA BAJA,PUERTO RICO,TOA BAJA,PUERTO RICO,1,3,2/9/13,CATANO
2013,53,DIVORCIO O ANULACION,NA,CUBA,GUAYNABO,PUERTO RICO,1,3,39,NUNCA SE HA CASADO,SAN JUAN,PUERTO RICO,SAN JUAN,PUERTO RICO,0,0,12/22/13,TOA BAJA
2013,25,NUNCA SE HA CASADO,MAYAGUEZ,PUERTO RICO,RINCON,PUERTO RICO,0,0,25,NUNCA SE HA CASADO,MAYAGUEZ,PUERTO RICO,RINCON,PUERTO RICO,0,0,7/3/13,AGUADA
2013,58,DIVORCIO O ANULACION,RIO PIEDRAS,PUERTO RICO,SAN JUAN,PUERTO RICO,1,0,58,DIVORCIO O ANULACION,SAN JUAN,PUERTO RICO,RIO GRANDE,PUERTO RICO,1,2,9/2/13,SAN JUAN
2013,24,NUNCA SE HA CASADO,SAN JUAN,PUERTO RICO,VEGA ALTA,PUERTO RICO,0,0,18,NUNCA SE HA CASADO,BAYAMON,PUERTO RICO,VEGA ALTA,PUERTO RICO,0,0,8/20/13,DORADO
2013,24,NUNCA SE HA CASADO,SAN JUAN,PUERTO RICO,DORADO,PUERTO RICO,0,0,25,NUNCA SE HA CASADO,BAYAMON,PUERTO RICO,VEGA ALTA,PUERTO RICO,0,0,10/22/13,DORADO
2013,22,NUNCA SE HA CASADO,MAYAGUEZ,PUERTO RICO,YAUCO,PUERTO RICO,0,0,22,NUNCA SE HA CASADO,YAUCO,PUERTO RICO,YAUCO,PUERTO RICO,0,0,11/29/13,YAUCO
2013,24,NUNCA SE HA CASADO,GUAYANILLA,PUERTO RICO,GUAYANILLA,PUERTO RICO,0,0,17,NUNCA SE HA CASADO,GUAYANILLA,PUERTO RICO,GUAYANILLA,PUERTO RICO,0,0,11/23/13,GUAYANILLA
2013,26,NUNCA SE HA CASADO,PONCE,PUERTO RICO,JUANA DIAZ,PUERTO RICO,0,0,26,NUNCA SE HA CASADO,NA,GERMANY,PONCE,PUERTO RICO,0,0,7/13/13,PONCE
2013,39,NUNCA SE HA CASADO,MAYAGUEZ,PUERTO RICO,AGUADA,PUERTO RICO,0,0,18,NUNCA SE HA CASADO,PENNSYLVANIA,ESTADOS UNIDOS,AGUADA,PUERTO RICO,0,0,10/26/13,AGUADA
2014,21,NUNCA SE HA CASADO,AGUADILLA,PUERTO RICO,AGUADA,PUERTO RICO,0,0,19,NUNCA SE HA CASADO,AGUADILLA,PUERTO RICO,AGUADA,PUERTO RICO,0,0,11/16/13,AGUADILLA
2013,59,DIVORCIO O ANULACION,LAJAS,PUERTO RICO,LAJAS,PUERTO RICO,1,3,59,DIVORCIO O ANULACION,LAJAS,PUERTO RICO,LAJAS,PUERTO RICO,4,2,5/26/13,LAJAS
2013,28,NUNCA SE HA CASADO,NA,DOMINICAN REPUBLIC,BAYAMON,PUERTO RICO,0,0,18,NUNCA SE HA CASADO,NA,DOMINICAN REPUBLIC,BAYAMON,PUERTO RICO,0,0,11/18/13,SAN JUAN
2013,29,NUNCA SE HA CASADO,BAYAMON,PUERTO RICO,BAYAMON,PUERTO RICO,0,0,28,NUNCA SE HA CASADO,BAYAMON,PUERTO RICO,TOA BAJA,PUERTO RICO,0,0,11/16/13,SAN JUAN
2013,30,NUNCA SE HA CASADO,GUAYAMA,PUERTO RICO,SALINAS,PUERTO RICO,0,0,28,NUNCA SE HA CASADO,NEW JERSEY,ESTADOS UNIDOS,SALINAS,PUERTO RICO,0,0,6/20/13,SALINAS
2013,63,DIVORCIO O ANULACION,VEGA ALTA,PUERTO RICO,VEGA ALTA,PUERTO RICO,3,3,53,DIVORCIO O ANULACION,CIALES,PUERTO RICO,CIALES,PUERTO RICO,1,5,4/12/13,MANATI
2013,29,NUNCA SE HA CASADO,SAN JUAN,PUERTO RICO,SAN JUAN,PUERTO RICO,0,0,33,NUNCA SE HA CASADO,RIO PIEDRAS,PUERTO RICO,TRUJILLO ALTO,PUERTO RICO,0,0,3/2/13,SAN JUAN
2013,24,NUNCA SE HA CASADO,PONCE,PUERTO RICO,YAUCO,PUERTO RICO,0,0,18,NUNCA SE HA CASADO,YAUCO,PUERTO RICO,YAUCO,PUERTO RICO,0,0,6/28/13,YAUCO
2013,19,NUNCA SE HA CASADO,MAYAGUEZ,PUERTO RICO,MAYAGUEZ,PUERTO RICO,0,0,16,NUNCA SE HA CASADO,MAYAGUEZ,PUERTO RICO,MAYAGUEZ,PUERTO RICO,0,0,12/7/13,HORMIGUEROS
2013,26,NUNCA SE HA CASADO,ARECIBO,PUERTO RICO,ARECIBO,PUERTO RICO,0,0,26,NUNCA SE HA CASADO,ARECIBO,PUERTO RICO,ARECIBO,PUERTO RICO,0,0,11/10/13,ARECIBO
2013,29,NUNCA SE HA CASADO,CALIFORNIA,ESTADOS UNIDOS,MAYAGUEZ,PUERTO RICO,0,0,23,NUNCA SE HA CASADO,MAYAGUEZ,PUERTO RICO,RINCON,PUERTO RICO,0,0,12/28/13,AGUADA
2013,55,DIVORCIO O ANULACION,ARECIBO,PUERTO RICO,ARECIBO,PUERTO RICO,1,2,55,DIVORCIO O ANULACION,ARECIBO,PUERTO RICO,ARECIBO,PUERTO RICO,1,3,11/30/13,ARECIBO
2013,28,NUNCA SE HA CASADO,SAN JUAN,PUERTO RICO,CAGUAS,PUERTO RICO,0,0,22,NUNCA SE HA CASADO,SAN JUAN,PUERTO RICO,CIALES,PUERTO RICO,0,0,8/30/13,DORADO
2013,33,DIVORCIO O ANULACION,RIO PIEDRAS,PUERTO RICO,RIO GRANDE,PUERTO RICO,1,1,25,NUNCA SE HA CASADO,RIO PIEDRAS,PUERTO RICO,RIO GRANDE,PUERTO RICO,0,0,9/14/13,RIO GRANDE
